"Vigerslev Allé 108, 2500 Valby"
"Axel Strøbyes Vej 1, 2500 Valby"
"Højdedraget 17, st., 2500 Valby"
"Højsager Plads 3, 2. th, 2500 Valby"
"Nystedvej 24, 1., 2500 Valby"
"Østergårds Allé 3, 2500 Valby"
"Strindbergsvej 66, st., 2500 Valby"
"Engdraget 49, 2500 Valby"
"Ålholmvej 3, 1., 2500 Valby"
"Sylviavej 20, 4. tv, 2500 Valby"
"Overskousvej 6, 4. th, 2500 Valby"
"Søndervangs Allé 63, st. 2, 2500 Valby"
"Folehaven 13, 1. mf, 2500 Valby"
"Søndre Fasanvej 90, kl., 2500 Valby"
"Folehaven 52, 2. tv, 2500 Valby"
"Søndre Fasanvej 99, st., 2500 Valby"
"Folehaven 98, st. th, 2500 Valby"
"Panumsvej 59, 2500 Valby"
"Peter Bangs Vej 237, kl., 2500 Valby"
"Kirsebærhaven 20, st. 102, 2500 Valby"
"Thyregodsvej 14, 1. mf, 2500 Valby"
"Kjeldsgårdsvej 25C, 3. tv, 2500 Valby"
"Frilands Allé 20, 2500 Valby"
"Kløverbladsgade 9, 1., 2500 Valby"
"Toftegårds Allé 42, 4. tv, 2500 Valby"
"Frugthaven 33, 2. th, 2500 Valby"
"Gadekærvej 16, 5. tv, 2500 Valby"
"Gammel Jernbanevej 30, 4. th, 2500 Valby"
"Bandholmvej 5, 2500 Valby"
"Kongshaven 8, 2500 Valby"
"Trekronergade 9, 2. th, 2500 Valby"
"Gammel Køge Landevej 137, 2. 220, 2500 Valby"
"Beatevej 11, 2. th, 2500 Valby"
"Retortvej 28B, st. tv, 2500 Valby"
"Saxtorphsvej 15, 2500 Valby"
"Roskildevej 132, 2. tv, 2500 Valby"
"Landlystvej 26A, 1. th, 2500 Valby"
"Langagervej 13C, st. tv, 2500 Valby"
"Blankavej 1, 5., 2500 Valby"
"Blankavej 41, st. th, 2500 Valby"
"Rughavevej 9, 4. th, 2500 Valby"
"Lauravej 23, 3. tv, 2500 Valby"
"Valbygårdsvej 34D, 1., 2500 Valby"
"Valbygårdsvej 64B, 1. 215, 2500 Valby"
"Valbyholm 17, 1. 1, 2500 Valby"
"Valby Langgade 45, 1., 2500 Valby"
"Valby Langgade 134, 1., 2500 Valby"
"Valby Langgade 231, st. tv, 2500 Valby"
"Valby Tingsted 8, 3. tv, 2500 Valby"
"Lukretiavej 12, 1. tv, 2500 Valby"
"Bramslykkevej 39, 1. tv, 2500 Valby"
"Lyshøj Allé 1, 3. th, 2500 Valby"
"Lyshøj Allé 28, st. tv, 2500 Valby"
"Lyshøjgårdsvej 73, 1. tv, 2500 Valby"
"Harrestrup Allé 26, 2500 Valby"
"Saxhøjvej 37, 2500 Valby"
"Brøndkærvej 2, st. tv, 2500 Valby"
"Scharlingsvej 16, 3. th, 2500 Valby"
"Mansasvej 19, 2500 Valby"
"Maribovej 18, 2500 Valby"
"Sibbernsvej 5, 2. th, 2500 Valby"
"Heldbovej 27, st. tv, 2500 Valby"
"Heldbovej 111, 1. tv, 2500 Valby"
"Bykildevej 6, 1. tv, 2500 Valby"
"Vestervang 49, st. th, 2500 Valby"
"Sjælør Boulevard 77, 2. tv, 2500 Valby"
"Sjælør Boulevard 115, 2. tv, 2500 Valby"
"Sjælør Boulevard 181, 2. th, 2500 Valby"
"Carl Jacobsens Vej 10A, 1. 221, 2500 Valby"
"Vigerslev Allé 13, 3. th, 2500 Valby"
"Vigerslev Allé 82, 2. th, 2500 Valby"
"Carl Th. Dreyers Vej 250, 2500 Valby"
"Vigerslev Allé 159D, st. tv, 2500 Valby"
"Vigerslev Allé 246, 2500 Valby"
"Centerparken 28, 2. tv, 2500 Valby"
"Vigerslevvej 32, 1. th, 2500 Valby"
"Vigerslevvej 62B, 1. th, 2500 Valby"
"Vigerslevvej 180, st. 11, 2500 Valby"
"Molbechsvej 9, kl. 1, 2500 Valby"
"Vigerslevvej 246, st. tv, 2500 Valby"
"Vigerslevvej 277B, 2500 Valby"
"Skyttegårdvej 30, 1. tv, 2500 Valby"
"Vigerslevvej 313, 1. th, 2500 Valby"
"Vigerslev Vænge 26, 3. tv, 2500 Valby"
"Cæciliavej 11, 3. th, 2500 Valby"
"Mølle Allé 8, st. tv, 2500 Valby"
"Vinhaven 46, st. th, 2500 Valby"
"Hornemanns Vænge 9, st. 124, 2500 Valby"
"Nakskovvej 29, st. tv, 2500 Valby"
"Hornemanns Vænge 45, 3. tv, 2500 Valby"
"Damsbo Vænge 11, st. tv, 2500 Valby"
"Horsekildevej 15, st. th, 2500 Valby"
"Horsekildevej 41, 1. th, 2500 Valby"
"Danshøjvej 5, 1. tv, 2500 Valby"
"Stadfeldtsvej 26, 1., 2500 Valby"
"Humlehaven 62, kl. 3, 2500 Valby"
"Nordre Allé 8, 1., 2500 Valby"
"Druehaven 3, st. th, 2500 Valby"
"Høffdingsvej 31, st. mf, 2500 Valby"
"Højdedraget 17, 1., 2500 Valby"
"Højsager Plads 3, 2. tv, 2500 Valby"
"Nystedvej 25, 2500 Valby"
"Østergårds Allé 4, 2500 Valby"
"Strindbergsvej 66, 1., 2500 Valby"
"Engdraget 51, 2500 Valby"
"Ålholmvej 3, 2., 2500 Valby"
"Sylviavej 21, kl., 2500 Valby"
"Overskousvej 6, 4. tv, 2500 Valby"
"Søndervangs Allé 63, st. 3, 2500 Valby"
"Folehaven 13, 1. th, 2500 Valby"
"Søndre Fasanvej 90, st. 1, 2500 Valby"
"Folehaven 53, st. th, 2500 Valby"
"Søndre Fasanvej 99, 1. th, 2500 Valby"
"Folehaven 98, st. tv, 2500 Valby"
"Panumsvej 61, 2500 Valby"
"Peder Hjorts Vej 8, st. th, 2500 Valby"
"Peter Bangs Vej 237, st. th, 2500 Valby"
"Kirsebærhaven 20, st. 103, 2500 Valby"
"Thyregodsvej 14, 1. th, 2500 Valby"
"Kjeldsgårdsvej 25C, 4. th, 2500 Valby"
"Kjærstrupvej 56, 1. 1, 2500 Valby"
"Frilands Allé 21, 2500 Valby"
"Toftegårds Allé 10, 2., 2500 Valby"
"Toftegårds Allé 43, st. th, 2500 Valby"
"Frugthaven 33, 2. tv, 2500 Valby"
"Gadekærvej 17, st. th, 2500 Valby"
"Gammel Jernbanevej 30, 4. tv, 2500 Valby"
"Bandholmvej 6, 2500 Valby"
"Kongshaven 9, 2500 Valby"
"Trekronergade 9, 2. tv, 2500 Valby"
"Gammel Køge Landevej 137, 2. 221, 2500 Valby"
"Beatevej 11, 2. tv, 2500 Valby"
"Retortvej 28B, 1. th, 2500 Valby"
"Roskildevej 134, kl. 1, 2500 Valby"
"Landlystvej 26A, 1. tv, 2500 Valby"
"Roskildevej 189A, st. th, 2500 Valby"
"Langagervej 13C, 1. th, 2500 Valby"
"Blankavej 3, 1. th, 2500 Valby"
"Blankavej 41, st. tv, 2500 Valby"
"Rughavevej 9, 4. tv, 2500 Valby"
"Lauravej 23, 4. th, 2500 Valby"
"Valborg Allé 32, 3. th, 2500 Valby"
"Valbygårdsvej 35, st. th, 2500 Valby"
"Valbygårdsvej 64B, 1. 216, 2500 Valby"
"Valbyholm 17, 1. 10, 2500 Valby"
"Valby Langgade 47, st., 2500 Valby"
"Valby Langgade 86C, st. th, 2500 Valby"
"Valby Tingsted 8, 4. th, 2500 Valby"
"Lukretiavej 12, 2. th, 2500 Valby"
"Bramslykkevej 39, 2. th, 2500 Valby"
"Lyshøj Allé 1, 3. tv, 2500 Valby"
"Lyshøj Allé 28, 1. mf, 2500 Valby"
"Vennely Allé 3A, 2500 Valby"
"Lyshøjgårdsvej 73, 2. mf, 2500 Valby"
"Harrestrup Allé 27, 2500 Valby"
"Brøndkærvej 2, 1. th, 2500 Valby"
"Scharlingsvej 16, 3. tv, 2500 Valby"
"Mansasvej 20, 2500 Valby"
"Damsbo Vænge 11, 1. th, 2500 Valby"
"Horsekildevej 15, st. tv, 2500 Valby"
"Maribovej 20, 2500 Valby"
"Sibbernsvej 5, 2. tv, 2500 Valby"
"Heldbovej 27, 1. th, 2500 Valby"
"Heldbovej 111, 2. th, 2500 Valby"
"Bykildevej 6, 2. th, 2500 Valby"
"Vestervang 49, st. tv, 2500 Valby"
"Sjælør Boulevard 77, 3. th, 2500 Valby"
"Sjælør Boulevard 115, 3. th, 2500 Valby"
"Sjælør Boulevard 181, 2. tv, 2500 Valby"
"Carl Jacobsens Vej 10A, 1. 222, 2500 Valby"
"Vigerslev Allé 13, 3. tv, 2500 Valby"
"Vigerslev Allé 82, 2. tv, 2500 Valby"
"Carl Th. Dreyers Vej 252, 2500 Valby"
"Vigerslev Allé 159D, 1. th, 2500 Valby"
"Vigerslev Allé 248, 2500 Valby"
"Centerparken 28, 3. th, 2500 Valby"
"Vigerslevvej 32, 1. tv, 2500 Valby"
"Vigerslevvej 62B, 1. tv, 2500 Valby"
"Vigerslevvej 180, st. 12, 2500 Valby"
"Molbechsvej 9, st. th, 2500 Valby"
"Vigerslevvej 246, 1. th, 2500 Valby"
"Vigerslevvej 277C, 2500 Valby"
"Skyttegårdvej 30, 2. th, 2500 Valby"
"Vigerslevvej 313, 1. tv, 2500 Valby"
"Vigerslev Vænge 28, st. th, 2500 Valby"
"Cæciliavej 11, 3. tv, 2500 Valby"
"Mølle Allé 8, 1. th, 2500 Valby"
"Vinhaven 46, st. tv, 2500 Valby"
"Hornemanns Vænge 9, st. 125, 2500 Valby"
"Nakskovvej 29, 1. th, 2500 Valby"
"Hornemanns Vænge 47, st. mf, 2500 Valby"
"Horsekildevej 41, 1. tv, 2500 Valby"
"Danshøjvej 5, 2. th, 2500 Valby"
"Stadfeldtsvej 28, 2500 Valby"
"Humlehaven 62, st., 2500 Valby"
"Nordre Allé 8, 2., 2500 Valby"
"Druehaven 3, st. tv, 2500 Valby"
"Høffdingsvej 31, st. th, 2500 Valby"
"Højdedraget 18, 2500 Valby"
"Højsager Plads 4, 2500 Valby"
"Nystedvej 26, st. th, 2500 Valby"
"Østergårds Allé 5, 2500 Valby"
"Strindbergsvej 67, 2500 Valby"
"Ålholmvej 4, st. th, 2500 Valby"
"Sylviavej 21, st. th, 2500 Valby"
"Overskousvej 7, st. th, 2500 Valby"
"Søndervangs Allé 63, st. 4, 2500 Valby"
"Folehaven 13, 1. tv, 2500 Valby"
"Søndre Fasanvej 90, st. 2, 2500 Valby"
"Folehaven 53, st. tv, 2500 Valby"
"Søndre Fasanvej 99, 1. tv, 2500 Valby"
"Folehaven 98, 1. th, 2500 Valby"
"Panumsvej 63, 2500 Valby"
"Peder Hjorts Vej 8, st. tv, 2500 Valby"
"Peter Bangs Vej 237, st. tv, 2500 Valby"
"Kirsebærhaven 20, st. 104, 2500 Valby"
"Kjeldsgårdsvej 25C, 4. tv, 2500 Valby"
"Kjærstrupvej 56, 1. 2, 2500 Valby"
"Prisholmvej 47, 2500 Valby"
"Frilands Allé 22, 2500 Valby"
"Kløverbladsgade 10, st., 2500 Valby"
"Toftegårds Allé 43, st. tv, 2500 Valby"
"Frugthaven 35, st. mf, 2500 Valby"
"Gadekærvej 17, st. tv, 2500 Valby"
"Gammel Jernbanevej 32, kl. th, 2500 Valby"
"Bandholmvej 7A, 2500 Valby"
"Kongshaven 10, 2500 Valby"
"Trekronergade 9, 3. th, 2500 Valby"
"Gammel Køge Landevej 137, 2. 222, 2500 Valby"
"Beatevej 11, 3. th, 2500 Valby"
"Retortvej 28B, 1. tv, 2500 Valby"
"Roskildevej 134, st. th, 2500 Valby"
"Landlystvej 26A, 2. th, 2500 Valby"
"Roskildevej 189A, st. tv, 2500 Valby"
"Langagervej 13C, 1. tv, 2500 Valby"
"Blankavej 3, 1. tv, 2500 Valby"
"Blankavej 41, 1. th, 2500 Valby"
"Rughavevej 11, st., 2500 Valby"
"Lauravej 23, 4. tv, 2500 Valby"
"Mansasvej 21, 2500 Valby"
"Valborg Allé 32, 3. tv, 2500 Valby"
"Valbygårdsvej 35, st. tv, 2500 Valby"
"Valbygårdsvej 64B, 1. 217, 2500 Valby"
"Valbyholm 17, 1. 11, 2500 Valby"
"Valby Langgade 7B, 2500 Valby"
"Valby Langgade 86C, st. tv, 2500 Valby"
"Valby Langgade 231, 2., 2500 Valby"
"Valby Tingsted 8, 4. tv, 2500 Valby"
"Lukretiavej 12, 2. tv, 2500 Valby"
"Gårdstedet 37, st. th, 2500 Valby"
"Bramslykkevej 39, 2. tv, 2500 Valby"
"Sandhusvej 1, st. th, 2500 Valby"
"Lyshøj Allé 1, 4. th, 2500 Valby"
"Lyshøj Allé 28, 1. th, 2500 Valby"
"Vennely Allé 5, 2500 Valby"
"Lyshøjgårdsvej 73, 2. th, 2500 Valby"
"Harrestrup Allé 28, st., 2500 Valby"
"Saxhøjvej 39A, 2500 Valby"
"Brøndkærvej 2, 1. tv, 2500 Valby"
"Scharlingsvej 16, 4. th, 2500 Valby"
"Maribovej 22, 2500 Valby"
"Sibbernsvej 5, 3. th, 2500 Valby"
"Heldbovej 27, 1. tv, 2500 Valby"
"Heldbovej 111, 2. tv, 2500 Valby"
"Bykildevej 6, 2. tv, 2500 Valby"
"Vestervang 49, 1. th, 2500 Valby"
"Sjælør Boulevard 77, 3. tv, 2500 Valby"
"Sjælør Boulevard 115, 3. tv, 2500 Valby"
"Sjælør Boulevard 181, 3. mf, 2500 Valby"
"Carl Jacobsens Vej 10A, 1. 223, 2500 Valby"
"Vigerslev Allé 13, 4. th, 2500 Valby"
"Vigerslev Allé 82, 3. th, 2500 Valby"
"Carl Th. Dreyers Vej 254, 2500 Valby"
"Vigerslev Allé 159D, 1. tv, 2500 Valby"
"Vigerslev Allé 250, 2500 Valby"
"Centerparken 28, 3. tv, 2500 Valby"
"Vigerslevvej 32, 2. th, 2500 Valby"
"Vigerslevvej 62B, 2. th, 2500 Valby"
"Vigerslevvej 180, st. 13, 2500 Valby"
"Molbechsvej 9, st. tv, 2500 Valby"
"Vigerslevvej 246, 1. tv, 2500 Valby"
"Vigerslevvej 277D, 2500 Valby"
"Skyttegårdvej 30, 2. tv, 2500 Valby"
"Vigerslevvej 313, 2. th, 2500 Valby"
"Vigerslev Vænge 28, st. tv, 2500 Valby"
"Cæciliavej 11, 4. th, 2500 Valby"
"Mølle Allé 8, 1. tv, 2500 Valby"
"Vinhaven 46, 1. mf, 2500 Valby"
"Hornemanns Vænge 9, st. 126, 2500 Valby"
"Nakskovvej 29, 1. tv, 2500 Valby"
"Hornemanns Vænge 47, st. th, 2500 Valby"
"Damsbo Vænge 11, 1. tv, 2500 Valby"
"Horsekildevej 15, 1. th, 2500 Valby"
"Danshøjvej 5, 2. tv, 2500 Valby"
"Stadfeldtsvej 30, 2500 Valby"
"Humlehaven 62, 1., 2500 Valby"
"Nordre Allé 9, st., 2500 Valby"
"Druehaven 3, 1. th, 2500 Valby"
"Høffdingsvej 31, st. tv, 2500 Valby"
"Højdedraget 19, 2500 Valby"
"Højsager Plads 5, 1. th, 2500 Valby"
"Nystedvej 26, st. tv, 2500 Valby"
"Østergårds Allé 6, 2500 Valby"
"Strindbergsvej 68, st., 2500 Valby"
"Engdraget 55, 2500 Valby"
"Ålholmvej 4, st. tv, 2500 Valby"
"Sylviavej 21, st. tv, 2500 Valby"
"Overskousvej 7, st. tv, 2500 Valby"
"Søndervangs Allé 63, st. 7, 2500 Valby"
"Folehaven 13, 2. mf, 2500 Valby"
"Søndre Fasanvej 90, st. 3, 2500 Valby"
"Folehaven 53, 1. th, 2500 Valby"
"Søndre Fasanvej 99, 2. th, 2500 Valby"
"Folehaven 98, 1. tv, 2500 Valby"
"Panumsvej 65, 2500 Valby"
"Peder Hjorts Vej 8, 1. th, 2500 Valby"
"Peter Bangs Vej 237, 1. th, 2500 Valby"
"Kirsebærhaven 20, st. 105, 2500 Valby"
"Thyregodsvej 14, 2. mf, 2500 Valby"
"Kjeldsgårdsvej 26, st. th, 2500 Valby"
"Prisholmvej 48, st. th, 2500 Valby"
"Frilands Allé 23, 2500 Valby"
"Kløverbladsgade 10, 1., 2500 Valby"
"Toftegårds Allé 43, 1. th, 2500 Valby"
"Frugthaven 35, st. th, 2500 Valby"
"Gadekærvej 17, 1. th, 2500 Valby"
"Gammel Jernbanevej 32, kl. tv, 2500 Valby"
"Bandholmvej 7B, 2500 Valby"
"Kongshaven 11, 2500 Valby"
"Trekronergade 9, 3. tv, 2500 Valby"
"Gammel Køge Landevej 137, 2. 231, 2500 Valby"
"Beatevej 11, 3. tv, 2500 Valby"
"Retortvej 28B, 2. th, 2500 Valby"
"Roskildevej 134, st. tv, 2500 Valby"
"Landlystvej 26A, 2. tv, 2500 Valby"
"Roskildevej 189A, st. 21, 2500 Valby"
"Langagervej 13C, 2. th, 2500 Valby"
"Blankavej 3, 2. th, 2500 Valby"
"Blankavej 41, 1. tv, 2500 Valby"
"Rughavevej 11, st. th, 2500 Valby"
"Lauravej 24, st. th, 2500 Valby"
"Valborg Allé 32, 4. th, 2500 Valby"
"Valbygårdsvej 35, 1. th, 2500 Valby"
"Valbygårdsvej 64B, 1. 218, 2500 Valby"
"Valbyholm 17, 1. 12, 2500 Valby"
"Valby Langgade 8, st. th, 2500 Valby"
"Valby Langgade 86C, 1. th, 2500 Valby"
"Valby Langgade 134, 2. th, 2500 Valby"
"Valby Langgade 232, st. th, 2500 Valby"
"Valby Tingsted 9, st., 2500 Valby"
"Lukretiavej 12, 3. th, 2500 Valby"
"Gårdstedet 37, st. tv, 2500 Valby"
"Bramslykkevej 40, st. th, 2500 Valby"
"Sandhusvej 1, 1. th, 2500 Valby"
"Lyshøj Allé 1, 4. tv, 2500 Valby"
"Lyshøj Allé 28, 1. tv, 2500 Valby"
"Vennely Allé 7, 2500 Valby"
"Lyshøjgårdsvej 73, 2. tv, 2500 Valby"
"Harrestrup Allé 28, 1., 2500 Valby"
"Saxhøjvej 39, st., 2500 Valby"
"Brøndkærvej 2, 2. th, 2500 Valby"
"Scharlingsvej 16, 4. tv, 2500 Valby"
"Mansasvej 22, 2500 Valby"
"Maribovej 23, 2500 Valby"
"Sibbernsvej 5, 3. tv, 2500 Valby"
"Heldbovej 27, 2. th, 2500 Valby"
"Heldbovej 111, 3., 2500 Valby"
"Bykildevej 6, 3. th, 2500 Valby"
"Vestervang 49, 1. tv, 2500 Valby"
"Sjælør Boulevard 79, st. mf, 2500 Valby"
"Sjælør Boulevard 117, st. th, 2500 Valby"
"Sjælør Boulevard 181, 3. th, 2500 Valby"
"Carl Jacobsens Vej 10A, 1. 224, 2500 Valby"
"Vigerslev Allé 13, 4. tv, 2500 Valby"
"Vigerslev Allé 82, 3. tv, 2500 Valby"
"Carl Th. Dreyers Vej 256, 1. 1, 2500 Valby"
"Vigerslev Allé 159D, 2. th, 2500 Valby"
"Vigerslev Allé 252, 2500 Valby"
"Centerparken 30, st. th, 2500 Valby"
"Vigerslevvej 32, 2. tv, 2500 Valby"
"Vigerslevvej 62B, 2. tv, 2500 Valby"
"Vigerslevvej 180, st. 14, 2500 Valby"
"Molbechsvej 9, 1. th, 2500 Valby"
"Vigerslevvej 246, 2. th, 2500 Valby"
"Monrads Allé 1, st. th, 2500 Valby"
"Vigerslevvej 278A, kl., 2500 Valby"
"Skyttegårdvej 31, st. th, 2500 Valby"
"Vigerslevvej 313, 2. tv, 2500 Valby"
"Vigerslev Vænge 28, 1. th, 2500 Valby"
"Cæciliavej 11, 4. tv, 2500 Valby"
"Mølle Allé 8, 2. th, 2500 Valby"
"Vinhaven 46, 1. th, 2500 Valby"
"Hornemanns Vænge 9, st. 127, 2500 Valby"
"Nakskovvej 29, 2. th, 2500 Valby"
"Hornemanns Vænge 47, st. tv, 2500 Valby"
"Damsbo Vænge 11, 2. th, 2500 Valby"
"Horsekildevej 15, 1. tv, 2500 Valby"
"Danshøjvej 5, 3. th, 2500 Valby"
"Stadfeldtsvej 32, 2500 Valby"
"Humlehaven 63, 2500 Valby"
"Nordre Allé 9, 1., 2500 Valby"
"Druehaven 3, 1. tv, 2500 Valby"
"Høffdingsvej 31, 1. mf, 2500 Valby"
"Højsager Plads 5, 1. tv, 2500 Valby"
"Nystedvej 26, 1. th, 2500 Valby"
"Østergårds Allé 7, st., 2500 Valby"
"Strindbergsvej 68, 1., 2500 Valby"
"Engdraget 57, 2500 Valby"
"Ålholmvej 4, 1. th, 2500 Valby"
"Sylviavej 21, 1. th, 2500 Valby"
"Overskousvej 7, 1. th, 2500 Valby"
"Søndervangs Allé 63, 1. 10, 2500 Valby"
"Folehaven 13, 2. th, 2500 Valby"
"Søndre Fasanvej 90, st. 4, 2500 Valby"
"Folehaven 53, 1. tv, 2500 Valby"
"Søndre Fasanvej 99, 2. tv, 2500 Valby"
"Folehaven 98, 2. th, 2500 Valby"
"Parkbo 1A, 2500 Valby"
"Peder Hjorts Vej 8, 1. tv, 2500 Valby"
"Peter Bangs Vej 237, 1. tv, 2500 Valby"
"Kirsebærhaven 20, st. 106, 2500 Valby"
"Thyregodsvej 14, 2. th, 2500 Valby"
"Kjeldsgårdsvej 26, 1. th, 2500 Valby"
"Prisholmvej 48, st. tv, 2500 Valby"
"Frilands Allé 24, 2500 Valby"
"Toftegårds Allé 10, 3. th, 2500 Valby"
"Toftegårds Allé 43, 1. tv, 2500 Valby"
"Frugthaven 35, st. tv, 2500 Valby"
"Gadekærvej 17, 1. tv, 2500 Valby"
"Gammel Jernbanevej 32, st. th, 2500 Valby"
"Bandholmvej 8, 2500 Valby"
"Kongshaven 12, 2500 Valby"
"Trekronergade 9, 4. th, 2500 Valby"
"Gammel Køge Landevej 137, 2. 232, 2500 Valby"
"Beatevej 11, 4. th, 2500 Valby"
"Retortvej 28B, 2. tv, 2500 Valby"
"Roskildevej 134, 1. th, 2500 Valby"
"Landlystvej 26B, st., 2500 Valby"
"Roskildevej 189A, st. 22, 2500 Valby"
"Langagervej 13C, 2. tv, 2500 Valby"
"Blankavej 3, 2. tv, 2500 Valby"
"Blankavej 41, 2. th, 2500 Valby"
"Rughavevej 11, st. tv, 2500 Valby"
"Lauravej 24, st. tv, 2500 Valby"
"Valborg Allé 32, 4. tv, 2500 Valby"
"Valbygårdsvej 35, 1. tv, 2500 Valby"
"Valbygårdsvej 64B, 1. 219, 2500 Valby"
"Valbyholm 17, 1. 2, 2500 Valby"
"Valby Langgade 8, st. tv, 2500 Valby"
"Valby Langgade 86C, 1. tv, 2500 Valby"
"Valby Langgade 134, 2. tv, 2500 Valby"
"Valby Tingsted 9, 1., 2500 Valby"
"Lukretiavej 12, 3. tv, 2500 Valby"
"Gårdstedet 37, 1. th, 2500 Valby"
"Bramslykkevej 40, st. tv, 2500 Valby"
"Sandhusvej 1, 1. tv, 2500 Valby"
"Lyshøj Allé 2, 1. th, 2500 Valby"
"Lyshøj Allé 28, 2. mf, 2500 Valby"
"Vennely Allé 8, 2500 Valby"
"Lyshøjgårdsvej 73, 3. mf, 2500 Valby"
"Harrestrupvang 1, st. th, 2500 Valby"
"Saxhøjvej 39, 1., 2500 Valby"
"Brøndkærvej 2, 2. tv, 2500 Valby"
"Scharlingsvej 17, st., 2500 Valby"
"Mansasvej 23, 2500 Valby"
"Maribovej 24, 2500 Valby"
"Sibbernsvej 5, 4. th, 2500 Valby"
"Heldbovej 27, 2. tv, 2500 Valby"
"Heldbovej 113, st. th, 2500 Valby"
"Bykildevej 6, 3. tv, 2500 Valby"
"Vestervang 49, 2. th, 2500 Valby"
"Sjælør Boulevard 79, st. th, 2500 Valby"
"Sjælør Boulevard 117, st. tv, 2500 Valby"
"Sjælør Boulevard 181, 3. tv, 2500 Valby"
"Carl Jacobsens Vej 10A, 2. 301, 2500 Valby"
"Vigerslev Allé 15, st., 2500 Valby"
"Vigerslev Allé 82, 4. th, 2500 Valby"
"Carl Th. Dreyers Vej 256, 1. 2, 2500 Valby"
"Vigerslev Allé 159D, 2. tv, 2500 Valby"
"Vigerslev Allé 254, 2500 Valby"
"Centerparken 30, st. tv, 2500 Valby"
"Vigerslevvej 33, st. th, 2500 Valby"
"Vigerslevvej 63, st. 1, 2500 Valby"
"Vigerslevvej 180, st. 15, 2500 Valby"
"Molbechsvej 9, 1. tv, 2500 Valby"
"Vigerslevvej 246, 2. tv, 2500 Valby"
"Monrads Allé 1, st. tv, 2500 Valby"
"Vigerslevvej 278A, st., 2500 Valby"
"Skyttegårdvej 31, st. tv, 2500 Valby"
"Vigerslevvej 314, st. th, 2500 Valby"
"Vigerslev Vænge 28, 1. tv, 2500 Valby"
"Cæciliavej 11, 5., 2500 Valby"
"Mølle Allé 8, 2. tv, 2500 Valby"
"Vinhaven 46, 1. tv, 2500 Valby"
"Hornemanns Vænge 9, st. 128, 2500 Valby"
"Nakskovvej 29, 2. tv, 2500 Valby"
"Hornemanns Vænge 47, 1. mf, 2500 Valby"
"Damsbo Vænge 11, 2. tv, 2500 Valby"
"Horsekildevej 15, 2. th, 2500 Valby"
"Horsekildevej 41, 3. th, 2500 Valby"
"Danshøjvej 5, 3. tv, 2500 Valby"
"Stadfeldtsvej 34, 2500 Valby"
"Nordre Allé 10, st., 2500 Valby"
"Druehaven 3, 2. th, 2500 Valby"
"Høffdingsvej 31, 1. th, 2500 Valby"
"Højdedraget 20, st., 2500 Valby"
"Højsager Plads 5, 2. th, 2500 Valby"
"Nystedvej 26, 1. tv, 2500 Valby"
"Østergårds Allé 7, 1., 2500 Valby"
"Strindbergsvej 69, 2500 Valby"
"Engdraget 59, 2500 Valby"
"Ålholmvej 4, 1. tv, 2500 Valby"
"Sylviavej 21, 1. tv, 2500 Valby"
"Overskousvej 7, 1. tv, 2500 Valby"
"Søndervangs Allé 63, 1. 11, 2500 Valby"
"Folehaven 13, 2. tv, 2500 Valby"
"Søndre Fasanvej 90, 1. a, 2500 Valby"
"Folehaven 53, 2. th, 2500 Valby"
"Søndre Fasanvej 99, 3. th, 2500 Valby"
"Folehaven 98, 2. tv, 2500 Valby"
"Parkbo 1B, 2500 Valby"
"Peder Hjorts Vej 8, 2. th, 2500 Valby"
"Peter Bangs Vej 237, 2. th, 2500 Valby"
"Kirsebærhaven 20, st. 107, 2500 Valby"
"Thyregodsvej 14, 2. tv, 2500 Valby"
"Kjeldsgårdsvej 26, 1. tv, 2500 Valby"
"Prisholmvej 48, 1. th, 2500 Valby"
"Frilands Allé 25, 2500 Valby"
"Toftegårds Allé 10, 3. tv, 2500 Valby"
"Toftegårds Allé 43, 2. th, 2500 Valby"
"Frugthaven 35, 1. mf, 2500 Valby"
"Gadekærvej 17, 2. th, 2500 Valby"
"Gammel Jernbanevej 32, st. tv, 2500 Valby"
"Bandholmvej 9, 2500 Valby"
"Kongshaven 13, 2500 Valby"
"Trekronergade 9, 4. tv, 2500 Valby"
"Gammel Køge Landevej 137, 2. 233, 2500 Valby"
"Beatevej 11, 4. tv, 2500 Valby"
"Retortvej 32, 2500 Valby"
"Roskildevej 134, 1. tv, 2500 Valby"
"Landlystvej 26B, 1. th, 2500 Valby"
"Roskildevej 189A, st. 23, 2500 Valby"
"Langagervej 14, 2500 Valby"
"Blankavej 3, 3. th, 2500 Valby"
"Blankavej 41, 2. tv, 2500 Valby"
"Rughavevej 11, 1. th, 2500 Valby"
"Lauravej 24, 1. th, 2500 Valby"
"Valborg Allé 34, kl., 2500 Valby"
"Valbygårdsvej 35, 2. th, 2500 Valby"
"Valbygårdsvej 64B, 1. 220, 2500 Valby"
"Valbyholm 17, 1. 3, 2500 Valby"
"Valby Langgade 8, 1. th, 2500 Valby"
"Valby Langgade 86C, 2. th, 2500 Valby"
"Valby Langgade 134, 3. th, 2500 Valby"
"Valby Langgade 232, 1. th, 2500 Valby"
"Lukretiavej 14, 1. th, 2500 Valby"
"Gårdstedet 37, 1. tv, 2500 Valby"
"Bramslykkevej 40, 1. th, 2500 Valby"
"Sandhusvej 1, 2. th, 2500 Valby"
