"Sølvgade 105, 5. tv, 1307 København K"
"Georg Brandes Plads 10, 1. 35, 1307 København K"
"Georg Brandes Plads 4, st. 31, 1307 København K"
"Sølvgade 48, 5., 1307 København K"
"Georg Brandes Plads 6, 3. 321, 1307 København K"
"Georg Brandes Plads 4, 3. 311, 1307 København K"
"Georg Brandes Plads 12, st. 70, 1307 København K"
"Georg Brandes Plads 16, 4. 79, 1307 København K"
"Georg Brandes Plads 14, 1. 79, 1307 København K"
"Georg Brandes Plads 8, st. 27, 1307 København K"
"Georg Brandes Plads 8, 4. 17, 1307 København K"
"Georg Brandes Plads 4, st. 14, 1307 København K"
"Sølvgade 10, 1307 København K"
"Sølvgade 10, 6. th, 1307 København K"
"Georg Brandes Plads 4, 1. 152, 1307 København K"
"Georg Brandes Plads 4, st. 1, 1307 København K"
"Georg Brandes Plads 8, 4. 23, 1307 København K"
"Georg Brandes Plads 10, st. 32, 1307 København K"
"Georg Brandes Plads 14, 3. 90, 1307 København K"
"Georg Brandes Plads 6, 3. 314, 1307 København K"
"Georg Brandes Plads 6, 4. 420, 1307 København K"
"Sølvgade 84, 1307 København K"
"Georg Brandes Plads 8, 2. 7, 1307 København K"
"Georg Brandes Plads 4, 2. 218, 1307 København K"
"Georg Brandes Plads 14, 4. 63, 1307 København K"
"Georg Brandes Plads 4, 4. 429, 1307 København K"
"Georg Brandes Plads 14, 2. 65, 1307 København K"
"Sølvgade 10, 3. tv, 1307 København K"
"Georg Brandes Plads 4, st. 41, 1307 København K"
"Georg Brandes Plads 4, st. 44, 1307 København K"
"Georg Brandes Plads 4, st. 20, 1307 København K"
"Georg Brandes Plads 16, 2. 106, 1307 København K"
"Georg Brandes Plads 10, st. 50, 1307 København K"
"Georg Brandes Plads 4, 1. 139, 1307 København K"
"Georg Brandes Plads 6, 2. 221, 1307 København K"
"Georg Brandes Plads 4, st. 8, 1307 København K"
"Georg Brandes Plads 12, 3. 51, 1307 København K"
"Georg Brandes Plads 4, st. 39, 1307 København K"
"Georg Brandes Plads 6, 2. 215, 1307 København K"
"Georg Brandes Plads 4, 4. 424, 1307 København K"
"Georg Brandes Plads 4, 2. 238, 1307 København K"
"Georg Brandes Plads 4, st. 27, 1307 København K"
"Georg Brandes Plads 4, st. 26, 1307 København K"
"Georg Brandes Plads 16, 3. 108, 1307 København K"
"Georg Brandes Plads 12, 3. 68, 1307 København K"
"Georg Brandes Plads 8, 2. 24, 1307 København K"
"Georg Brandes Plads 16, st. 79, 1307 København K"
"Georg Brandes Plads 12, 2. 76, 1307 København K"
"Georg Brandes Plads 4, 3. 331, 1307 København K"
"Georg Brandes Plads 12, 1. 58, 1307 København K"
"Georg Brandes Plads 14, 4. 88, 1307 København K"
"Georg Brandes Plads 14, 4. 94, 1307 København K"
"Georg Brandes Plads 12, 4. 76, 1307 København K"
"Georg Brandes Plads 6, st. 50, 1307 København K"
"Georg Brandes Plads 4, 1. 123, 1307 København K"
"Georg Brandes Plads 6, 3. 333, 1307 København K"
"Georg Brandes Plads 6, 3. 329, 1307 København K"
"Georg Brandes Plads 6, 4. 5, 1307 København K"
"Georg Brandes Plads 6, 3. 339, 1307 København K"
"Georg Brandes Plads 10, st. 31, 1307 København K"
"Georg Brandes Plads 14, st. 86, 1307 København K"
"Georg Brandes Plads 12, 4. 59, 1307 København K"
"Georg Brandes Plads 4, 4. 421, 1307 København K"
"Georg Brandes Plads 6, 1. 113, 1307 København K"
"Georg Brandes Plads 4, 2. 252, 1307 København K"
"Georg Brandes Plads 8, st. 21, 1307 København K"
"Georg Brandes Plads 6, 2. 223, 1307 København K"
"Georg Brandes Plads 14, 4. 69, 1307 København K"
"Georg Brandes Plads 6, 2. 244, 1307 København K"
"Georg Brandes Plads 8, 1. 11, 1307 København K"
"Georg Brandes Plads 4, 1. 107, 1307 København K"
"Georg Brandes Plads 4, 4. 443, 1307 København K"
"Georg Brandes Plads 4, 4. 439, 1307 København K"
"Georg Brandes Plads 14, 1. 88, 1307 København K"
"Georg Brandes Plads 6, 2. 4, 1307 København K"
"Georg Brandes Plads 3, 1307 København K"
"Georg Brandes Plads 6, 2. 6, 1307 København K"
"Georg Brandes Plads 6, 3. 344, 1307 København K"
"Georg Brandes Plads 6, 1. 117, 1307 København K"
"Georg Brandes Plads 16, 3. 83, 1307 København K"
"Georg Brandes Plads 4, 3. 306, 1307 København K"
"Georg Brandes Plads 12, 4. 64, 1307 København K"
"Georg Brandes Plads 6, 2. 201, 1307 København K"
"Georg Brandes Plads 6, 2. 226, 1307 København K"
"Georg Brandes Plads 4, 4. 452, 1307 København K"
"Georg Brandes Plads 8, 1. 15, 1307 København K"
"Georg Brandes Plads 6, st. 5, 1307 København K"
"Georg Brandes Plads 10, 4. 3, 1307 København K"
"Georg Brandes Plads 8, 3. 15, 1307 København K"
"Georg Brandes Plads 4, 3. 302, 1307 København K"
"Sølvgade 38D, 2. th, 1307 København K"
"Georg Brandes Plads 8, 2. 23, 1307 København K"
"Georg Brandes Plads 6, st. 28, 1307 København K"
"Georg Brandes Plads 4, 3. 318, 1307 København K"
"Georg Brandes Plads 6, 3. 4, 1307 København K"
"Sølvgade 38B, 1307 København K"
"Sølvgade 40G, 1307 København K"
"Georg Brandes Plads 12, st. 78, 1307 København K"
"Georg Brandes Plads 4, st. 23, 1307 København K"
"Georg Brandes Plads 12, 1. 60, 1307 København K"
"Sølvgade 38, 1307 København K"
"Georg Brandes Plads 12, 2. 62, 1307 København K"
"Georg Brandes Plads 4, 3. 352, 1307 København K"
"Sølvgade 10, 1. th, 1307 København K"
"Georg Brandes Plads 4, 4. 438, 1307 København K"
"Georg Brandes Plads 14, st. 67, 1307 København K"
"Georg Brandes Plads 6, st. 25, 1307 København K"
"Georg Brandes Plads 4, 4. 408, 1307 København K"
"Georg Brandes Plads 10, 1. 29, 1307 København K"
"Sølvgade 81A, 1307 København K"
"Georg Brandes Plads 6, 3. 331, 1307 København K"
"Sølvgade 10, 6., 1307 København K"
"Georg Brandes Plads 6, 1. 124, 1307 København K"
"Georg Brandes Plads 4, st. 33, 1307 København K"
"Georg Brandes Plads 4, st. 25, 1307 København K"
"Georg Brandes Plads 10, 4. 46, 1307 København K"
"Georg Brandes Plads 6, st. 10, 1307 København K"
"Georg Brandes Plads 2, 4., 1307 København K"
"Georg Brandes Plads 6, st. 33, 1307 København K"
"Georg Brandes Plads 4, 3. 308, 1307 København K"
"Georg Brandes Plads 6, 4. 404, 1307 København K"
"Georg Brandes Plads 6, 1. 8, 1307 København K"
"Georg Brandes Plads 12, 3. 74, 1307 København K"
"Georg Brandes Plads 14, 1. 63, 1307 København K"
"Georg Brandes Plads 14, st. 94, 1307 København K"
"Georg Brandes Plads 10, 1. 36, 1307 København K"
"Georg Brandes Plads 16, 3. 110, 1307 København K"
"Georg Brandes Plads 6, 4. 413, 1307 København K"
"Georg Brandes Plads 4, st. 11, 1307 København K"
"Georg Brandes Plads 6, 1. 10, 1307 København K"
"Georg Brandes Plads 4, 2. 239, 1307 København K"
"Georg Brandes Plads 6, 3. 6, 1307 København K"
"Georg Brandes Plads 6, 3. 302, 1307 København K"
"Georg Brandes Plads 4, 2. 234, 1307 København K"
"Georg Brandes Plads 6, 1. 103, 1307 København K"
"Georg Brandes Plads 6, st. 22, 1307 København K"
"Georg Brandes Plads 6, st. 1, 1307 København K"
"Georg Brandes Plads 8, 1. 25, 1307 København K"
"Georg Brandes Plads 4, st. 8, 1307 København K"
"Sølvgade 20, kl. tv, 1307 København K"
"Georg Brandes Plads 6, 4. 408, 1307 København K"
"Georg Brandes Plads 4, 3. 322, 1307 København K"
"Georg Brandes Plads 4, st. 42, 1307 København K"
"Sølvgade 103, 1307 København K"
"Georg Brandes Plads 6, st. 14, 1307 København K"
"Sølvgade 86, 1307 København K"
"Georg Brandes Plads 10, 4. 29, 1307 København K"
"Georg Brandes Plads 14, 2. 77, 1307 København K"
"Georg Brandes Plads 10, 1. 50, 1307 København K"
"Georg Brandes Plads 4, st. 33, 1307 København K"
"Georg Brandes Plads 4, 2. 225, 1307 København K"
"Georg Brandes Plads 4, 4. 442, 1307 København K"
"Georg Brandes Plads 6, 3. 340, 1307 København K"
"Georg Brandes Plads 6, 4. 418, 1307 København K"
"Georg Brandes Plads 6, 1. 148, 1307 København K"
"Georg Brandes Plads 4, 4. 435, 1307 København K"
"Georg Brandes Plads 4, st. 19, 1307 København K"
"Georg Brandes Plads 4, st. 16, 1307 København K"
"Georg Brandes Plads 14, 3. 69, 1307 København K"
"Georg Brandes Plads 6, 3. 338, 1307 København K"
"Georg Brandes Plads 10, 3. 40, 1307 København K"
"Georg Brandes Plads 4, 1. 130, 1307 København K"
"Sølvgade 10, 4., 1307 København K"
"Georg Brandes Plads 6, st. 25, 1307 København K"
"Georg Brandes Plads 12, 4. 78, 1307 København K"
"Georg Brandes Plads 4, st. 46, 1307 København K"
"Sølvgade 20, 1307 København K"
"Sølvgade 14, 1307 København K"
"Georg Brandes Plads 4, st. 16, 1307 København K"
"Georg Brandes Plads 8, st. 30, 1307 København K"
"Georg Brandes Plads 8, 3. 26, 1307 København K"
"Georg Brandes Plads 16, st. 75, 1307 København K"
"Sølvgade 10, 1. tv, 1307 København K"
"Georg Brandes Plads 8, 1. 9, 1307 København K"
"Georg Brandes Plads 12, 1. 57, 1307 København K"
"Georg Brandes Plads 16, 4. 102, 1307 København K"
"Georg Brandes Plads 8, 2. 11, 1307 København K"
"Georg Brandes Plads 6, 1. 134, 1307 København K"
"Georg Brandes Plads 10, 4. 41, 1307 København K"
"Georg Brandes Plads 14, 2. 67, 1307 København K"
"Georg Brandes Plads 12, st. 80, 1307 København K"
"Georg Brandes Plads 14, 1. 92, 1307 København K"
"Georg Brandes Plads 6, 4. 430, 1307 København K"
"Georg Brandes Plads 12, 3. 61, 1307 København K"
"Georg Brandes Plads 10, 1. 31, 1307 København K"
"Georg Brandes Plads 10, 2. 54, 1307 København K"
"Georg Brandes Plads 4, st. 41, 1307 København K"
"Georg Brandes Plads 4, 1. 114, 1307 København K"
"Georg Brandes Plads 16, st. 108, 1307 København K"
"Georg Brandes Plads 16, 4. 100, 1307 København K"
"Georg Brandes Plads 12, 3. 56, 1307 København K"
"Georg Brandes Plads 8, 3. 21, 1307 København K"
"Georg Brandes Plads 6, 3. 316, 1307 København K"
"Georg Brandes Plads 12, st. 57, 1307 København K"
"Sølvgade 10, st. th, 1307 København K"
"Georg Brandes Plads 4, 3. 321, 1307 København K"
"Georg Brandes Plads 2, 1307 København K"
"Georg Brandes Plads 4, 3. 342, 1307 København K"
"Georg Brandes Plads 10, 3. 50, 1307 København K"
"Georg Brandes Plads 6, 4. 417, 1307 København K"
"Sølvgade 40F, st., 1307 København K"
"Georg Brandes Plads 10, st. 44, 1307 København K"
"Georg Brandes Plads 10, 1. 46, 1307 København K"
"Sølvgade 85B, st., 1307 København K"
"Georg Brandes Plads 16, 2. 79, 1307 København K"
"Sølvgade 36A, 3., 1307 København K"
"Georg Brandes Plads 14, 3. 96, 1307 København K"
"Georg Brandes Plads 6, 4. 412, 1307 København K"
"Georg Brandes Plads 4, 1. 121, 1307 København K"
"Georg Brandes Plads 8, 4. 24, 1307 København K"
"Georg Brandes Plads 8, 4. 26, 1307 København K"
"Georg Brandes Plads 4, st. 17, 1307 København K"
"Georg Brandes Plads 4, 1. 144, 1307 København K"
"Georg Brandes Plads 4, 3. 338, 1307 København K"
"Sølvgade 38D, st. 2, 1307 København K"
"Georg Brandes Plads 6, 4. 428, 1307 København K"
"Georg Brandes Plads 6, 2. 252, 1307 København K"
"Georg Brandes Plads 4, st. 15, 1307 København K"
"Georg Brandes Plads 4, 3. 312, 1307 København K"
"Georg Brandes Plads 6, 2. 220, 1307 København K"
"Georg Brandes Plads 8, 4. 30, 1307 København K"
"Georg Brandes Plads 6, 1. 131, 1307 København K"
"Georg Brandes Plads 8, st. 25, 1307 København K"
"Georg Brandes Plads 4, 1. 120, 1307 København K"
"Georg Brandes Plads 4, 2. 228, 1307 København K"
"Georg Brandes Plads 6, st. 46, 1307 København K"
"Sølvgade 83S, 1., 1307 København K"
"Georg Brandes Plads 4, 4. 407, 1307 København K"
"Georg Brandes Plads 8, 4. 21, 1307 København K"
"Georg Brandes Plads 10, 2. 38, 1307 København K"
"Georg Brandes Plads 6, 1. 128, 1307 København K"
"Georg Brandes Plads 4, 3. 337, 1307 København K"
"Georg Brandes Plads 6, 3. 342, 1307 København K"
"Georg Brandes Plads 6, 4. 401, 1307 København K"
"Georg Brandes Plads 6, st. 42, 1307 København K"
"Sølvgade 11, 1307 København K"
"Georg Brandes Plads 14, 2. 100, 1307 København K"
"Georg Brandes Plads 14, st. 100, 1307 København K"
"Georg Brandes Plads 6, 1. 107, 1307 København K"
"Georg Brandes Plads 4, 3. 320, 1307 København K"
"Georg Brandes Plads 4, 3. 313, 1307 København K"
"Georg Brandes Plads 4, 4. 450, 1307 København K"
"Georg Brandes Plads 10, 4. 54, 1307 København K"
"Georg Brandes Plads 14, 1. 69, 1307 København K"
"Georg Brandes Plads 6, 1. 142, 1307 København K"
"Sølvgade 48, 1., 1307 København K"
"Georg Brandes Plads 4, st. 15, 1307 København K"
"Georg Brandes Plads 8, st. 11, 1307 København K"
"Georg Brandes Plads 6, st. 26, 1307 København K"
"Georg Brandes Plads 10, 2. 33, 1307 København K"
"Georg Brandes Plads 8, 1. 13, 1307 København K"
"Georg Brandes Plads 6, 3. 352, 1307 København K"
"Georg Brandes Plads 6, 2. 235, 1307 København K"
"Georg Brandes Plads 10, 3. 48, 1307 København K"
"Georg Brandes Plads 4, 4. 406, 1307 København K"
"Georg Brandes Plads 4, 4. 436, 1307 København K"
"Georg Brandes Plads 6, st. 34, 1307 København K"
"Georg Brandes Plads 4, st. 27, 1307 København K"
"Georg Brandes Plads 14, st. 71, 1307 København K"
"Georg Brandes Plads 4, 1. 119, 1307 København K"
"Sølvgade 14A, 1307 København K"
"Georg Brandes Plads 4, st. 44, 1307 København K"
"Georg Brandes Plads 16, 1. 106, 1307 København K"
"Georg Brandes Plads 10, st. 43, 1307 København K"
"Sølvgade 85A, 1307 København K"
"Georg Brandes Plads 4, 1. 102, 1307 København K"
"Sølvgade 91, 1307 København K"
"Georg Brandes Plads 4, 1. 124, 1307 København K"
"Sølvgade 38F, st., 1307 København K"
"Georg Brandes Plads 6, 2. 204, 1307 København K"
"Georg Brandes Plads 14, 1. 94, 1307 København K"
"Georg Brandes Plads 14, 3. 77, 1307 København K"
"Sølvgade 83H, st., 1307 København K"
"Georg Brandes Plads 16, 3. 79, 1307 København K"
"Georg Brandes Plads 6, st. 3, 1307 København K"
"Georg Brandes Plads 12, 1. 56, 1307 København K"
"Georg Brandes Plads 4, 3. 335, 1307 København K"
"Georg Brandes Plads 4, st. 34, 1307 København K"
"Georg Brandes Plads 12, 1. 53, 1307 København K"
"Georg Brandes Plads 6, 1. 133, 1307 København K"
"Georg Brandes Plads 6, 4. 440, 1307 København K"
"Georg Brandes Plads 8, 3. 27, 1307 København K"
"Georg Brandes Plads 4, 1. 117, 1307 København K"
"Georg Brandes Plads 10, 4. 40, 1307 København K"
"Sølvgade 10, 1., 1307 København K"
"Georg Brandes Plads 4, st. 22, 1307 København K"
"Georg Brandes Plads 4, st. 18, 1307 København K"
"Sølvgade 10, 4. tv, 1307 København K"
"Georg Brandes Plads 14, 1. 77, 1307 København K"
"Georg Brandes Plads 6, 1. 122, 1307 København K"
"Georg Brandes Plads 6, 1. 137, 1307 København K"
"Georg Brandes Plads 16, 3. 104, 1307 København K"
"Georg Brandes Plads 4, 1. 127, 1307 København K"
"Georg Brandes Plads 8, 2. 22, 1307 København K"
"Georg Brandes Plads 8, 1. 19, 1307 København K"
"Georg Brandes Plads 6, 1. 118, 1307 København K"
"Georg Brandes Plads 10, 3. 42, 1307 København K"
"Georg Brandes Plads 4, 1307 København K"
"Georg Brandes Plads 12, 4. 66, 1307 København K"
"Georg Brandes Plads 4, 2. 235, 1307 København K"
"Georg Brandes Plads 8, 4. 11, 1307 København K"
"Georg Brandes Plads 6, st. 2, 1307 København K"
"Georg Brandes Plads 6, 3. 3, 1307 København K"
"Georg Brandes Plads 16, 4. 104, 1307 København K"
"Georg Brandes Plads 6, 1. 108, 1307 København K"
"Georg Brandes Plads 6, 1. 130, 1307 København K"
"Georg Brandes Plads 4, 3. 327, 1307 København K"
"Georg Brandes Plads 4, st. 29, 1307 København K"
"Sølvgade 79, 1307 København K"
"Georg Brandes Plads 4, 4. 418, 1307 København K"
"Georg Brandes Plads 14, 3. 63, 1307 København K"
"Georg Brandes Plads 4, 2. 219, 1307 København K"
"Georg Brandes Plads 12, 1. 72, 1307 København K"
"Georg Brandes Plads 6, 3. 354, 1307 København K"
"Georg Brandes Plads 4, st. 30, 1307 København K"
"Georg Brandes Plads 12, 2. 53, 1307 København K"
"Georg Brandes Plads 8, 3. 22, 1307 København K"
"Georg Brandes Plads 14, st. 92, 1307 København K"
"Georg Brandes Plads 4, 4. 431, 1307 København K"
"Georg Brandes Plads 4, 2. 250, 1307 København K"
"Georg Brandes Plads 2, 1307 København K"
"Georg Brandes Plads 6, st. 20, 1307 København K"
"Georg Brandes Plads 14, 2. 75, 1307 København K"
"Georg Brandes Plads 3, 1., 1307 København K"
"Georg Brandes Plads 4, 3. 310, 1307 København K"
"Georg Brandes Plads 4, 4. 409, 1307 København K"
"Georg Brandes Plads 12, 4. 61, 1307 København K"
"Georg Brandes Plads 4, 2. 233, 1307 København K"
"Sølvgade 83, 1307 København K"
"Georg Brandes Plads 4, st. 40, 1307 København K"
"Sølvgade 34C, st., 1307 København K"
"Georg Brandes Plads 12, 4. 80, 1307 København K"
"Georg Brandes Plads 6, st. 48, 1307 København K"
"Georg Brandes Plads 6, 1. 132, 1307 København K"
"Georg Brandes Plads 6, st. 17, 1307 København K"
"Georg Brandes Plads 4, st. 48, 1307 København K"
"Georg Brandes Plads 6, 3. 1, 1307 København K"
"Georg Brandes Plads 6, 4. 421, 1307 København K"
"Georg Brandes Plads 10, 3. 32, 1307 København K"
"Georg Brandes Plads 6, 2. 236, 1307 København K"
"Sølvgade 10, 3., 1307 København K"
"Georg Brandes Plads 14, 1. 82, 1307 København K"
"Sølvgade 14B, kl., 1307 København K"
"Georg Brandes Plads 6, 2. 222, 1307 København K"
"Georg Brandes Plads 14, 2. 98, 1307 København K"
"Georg Brandes Plads 6, 3. 337, 1307 København K"
"Georg Brandes Plads 16, 1. 85, 1307 København K"
"Georg Brandes Plads 4, st. 12, 1307 København K"
"Georg Brandes Plads 14, 3. 82, 1307 København K"
"Georg Brandes Plads 14, 2. 82, 1307 København K"
"Georg Brandes Plads 12, st. 49, 1307 København K"
"Georg Brandes Plads 6, 2. 242, 1307 København K"
"Georg Brandes Plads 12, 1. 66, 1307 København K"
"Sølvgade 40F, 3., 1307 København K"
"Georg Brandes Plads 4, st. 17, 1307 København K"
"Georg Brandes Plads 6, 2. 214, 1307 København K"
"Georg Brandes Plads 4, 1. 133, 1307 København K"
"Georg Brandes Plads 4, 1. 143, 1307 København K"
"Georg Brandes Plads 6, st. 6, 1307 København K"
"Georg Brandes Plads 8, 1. 21, 1307 København K"
"Georg Brandes Plads 6, 2. 10, 1307 København K"
"Georg Brandes Plads 6, 1. 140, 1307 København K"
"Sølvgade 10, 2. tv, 1307 København K"
"Georg Brandes Plads 14, st. 73, 1307 København K"
"Georg Brandes Plads 10, 2. 35, 1307 København K"
"Georg Brandes Plads 10, 3. 33, 1307 København K"
"Georg Brandes Plads 4, 2. 204, 1307 København K"
"Georg Brandes Plads 4, st. 5, 1307 København K"
"Georg Brandes Plads 4, 2. 207, 1307 København K"
"Georg Brandes Plads 4, 3. 304, 1307 København K"
"Georg Brandes Plads 6, st. 13, 1307 København K"
"Georg Brandes Plads 4, 3. 324, 1307 København K"
"Georg Brandes Plads 4, 4. 416, 1307 København K"
"Georg Brandes Plads 4, 3. 334, 1307 København K"
"Georg Brandes Plads 8, st. 9, 1307 København K"
"Georg Brandes Plads 4, st. 46, 1307 København K"
"Georg Brandes Plads 6, 1. 102, 1307 København K"
"Georg Brandes Plads 6, st. 40, 1307 København K"
"Georg Brandes Plads 6, st. 8, 1307 København K"
"Georg Brandes Plads 8, 3. 28, 1307 København K"
"Georg Brandes Plads 8, st. 22, 1307 København K"
"Georg Brandes Plads 8, 4. 15, 1307 København K"
"Georg Brandes Plads 16, 4. 83, 1307 København K"
"Georg Brandes Plads 6, st. 3, 1307 København K"
"Georg Brandes Plads 10, 1. 48, 1307 København K"
"Georg Brandes Plads 6, st. 18, 1307 København K"
"Georg Brandes Plads 4, 1. 140, 1307 København K"
"Georg Brandes Plads 6, 4. 429, 1307 København K"
"Georg Brandes Plads 12, 3. 45, 1307 København K"
"Georg Brandes Plads 8, st. 20, 1307 København K"
"Georg Brandes Plads 14, 2. 90, 1307 København K"
"Georg Brandes Plads 6, 2. 248, 1307 København K"
"Georg Brandes Plads 6, 2. 239, 1307 København K"
"Sølvgade 23, st., 1307 København K"
"Georg Brandes Plads 12, 3. 72, 1307 København K"
"Georg Brandes Plads 8, 3. 20, 1307 København K"
"Georg Brandes Plads 6, 2. 207, 1307 København K"
"Sølvgade 9, 1307 København K"
"Georg Brandes Plads 6, 1. 101, 1307 København K"
"Georg Brandes Plads 6, 2. 203, 1307 København K"
"Georg Brandes Plads 8, 2. 15, 1307 København K"
"Georg Brandes Plads 6, 2. 254, 1307 København K"
"Georg Brandes Plads 10, 4. 31, 1307 København K"
"Georg Brandes Plads 4, 1. 128, 1307 København K"
"Georg Brandes Plads 6, 3. 334, 1307 København K"
"Georg Brandes Plads 14, 1. 75, 1307 København K"
"Georg Brandes Plads 14, 4. 98, 1307 København K"
"Georg Brandes Plads 6, 2. 237, 1307 København K"
"Georg Brandes Plads 4, st. 10, 1307 København K"
"Georg Brandes Plads 14, 3. 86, 1307 København K"
"Georg Brandes Plads 10, st. 36, 1307 København K"
"Georg Brandes Plads 6, 2. 240, 1307 København K"
"Georg Brandes Plads 14, 2. 63, 1307 København K"
"Georg Brandes Plads 12, 1. 55, 1307 København K"
"Georg Brandes Plads 10, 3. 41, 1307 København K"
"Georg Brandes Plads 8, st. 24, 1307 København K"
"Sølvgade 48, 2., 1307 København K"
"Georg Brandes Plads 6, 1. 112, 1307 København K"
"Georg Brandes Plads 12, 2. 60, 1307 København K"
"Sølvgade 38E, kl. th, 1307 København K"
"Georg Brandes Plads 14, 4. 73, 1307 København K"
"Georg Brandes Plads 6, 3. 305, 1307 København K"
"Georg Brandes Plads 8, 3. 24, 1307 København K"
"Georg Brandes Plads 6, st. 26, 1307 København K"
"Georg Brandes Plads 6, 3. 10, 1307 København K"
"Georg Brandes Plads 6, 4. 2, 1307 København K"
"Georg Brandes Plads 6, 3. 320, 1307 København K"
"Georg Brandes Plads 6, 1. 115, 1307 København K"
"Georg Brandes Plads 4, 1. 129, 1307 København K"
"Georg Brandes Plads 6, 3. 323, 1307 København K"
"Georg Brandes Plads 4, 4. 415, 1307 København K"
"Georg Brandes Plads 4, 1. 115, 1307 København K"
"Georg Brandes Plads 8, 4. 13, 1307 København K"
"Georg Brandes Plads 4, 3. 301, 1307 København K"
"Georg Brandes Plads 4, 1. 106, 1307 København K"
"Georg Brandes Plads 8, 1. 22, 1307 København K"
"Georg Brandes Plads 4, 4. 432, 1307 København K"
"Georg Brandes Plads 6, st. 10, 1307 København K"
"Georg Brandes Plads 6, 4. 419, 1307 København K"
"Georg Brandes Plads 4, 2. 203, 1307 København K"
"Georg Brandes Plads 8, 3. 30, 1307 København K"
"Georg Brandes Plads 6, 4. 442, 1307 København K"
"Georg Brandes Plads 16, st. 77, 1307 København K"
"Georg Brandes Plads 4, st. 9, 1307 København K"
"Georg Brandes Plads 4, 3. 319, 1307 København K"
"Georg Brandes Plads 4, 3. 326, 1307 København K"
"Georg Brandes Plads 4, 2. 209, 1307 København K"
"Georg Brandes Plads 4, 2. 248, 1307 København K"
"Georg Brandes Plads 6, 4. 407, 1307 København K"
"Georg Brandes Plads 12, 4. 62, 1307 København K"
"Georg Brandes Plads 4, 3. 309, 1307 København K"
"Georg Brandes Plads 6, 1. 126, 1307 København K"
"Georg Brandes Plads 10, 1. 38, 1307 København K"
"Georg Brandes Plads 4, 1. 132, 1307 København K"
"Georg Brandes Plads 4, 2. 215, 1307 København K"
"Georg Brandes Plads 4, 3. 325, 1307 København K"
"Georg Brandes Plads 12, 1. 49, 1307 København K"
"Georg Brandes Plads 4, st. 18, 1307 København K"
"Georg Brandes Plads 14, 3. 84, 1307 København K"
"Georg Brandes Plads 6, 1. 6, 1307 København K"
"Georg Brandes Plads 4, 2. 237, 1307 København K"
"Sølvgade 32C, st., 1307 København K"
"Georg Brandes Plads 14, 3. 88, 1307 København K"
"Sølvgade 100, 1307 København K"
"Georg Brandes Plads 12, 1. 51, 1307 København K"
"Georg Brandes Plads 12, 4. 53, 1307 København K"
"Sølvgade 40D, 1., 1307 København K"
"Georg Brandes Plads 4, st. 5, 1307 København K"
"Georg Brandes Plads 4, 3. 332, 1307 København K"
"Georg Brandes Plads 14, st. 84, 1307 København K"
"Georg Brandes Plads 6, st. 21, 1307 København K"
"Georg Brandes Plads 8, 3. 16, 1307 København K"
"Georg Brandes Plads 6, st. 19, 1307 København K"
"Georg Brandes Plads 6, 1. 139, 1307 København K"
"Georg Brandes Plads 8, st. 19, 1307 København K"
"Sølvgade 19, 1307 København K"
"Georg Brandes Plads 6, 2. 238, 1307 København K"
"Georg Brandes Plads 4, 1. 113, 1307 København K"
"Georg Brandes Plads 8, 1. 20, 1307 København K"
"Georg Brandes Plads 6, 4. 3, 1307 København K"
"Georg Brandes Plads 14, st. 88, 1307 København K"
"Sølvgade 10, st., 1307 København K"
"Georg Brandes Plads 12, st. 60, 1307 København K"
"Georg Brandes Plads 14, 1. 102, 1307 København K"
"Georg Brandes Plads 14, 1. 84, 1307 København K"
"Georg Brandes Plads 6, st. 11, 1307 København K"
"Georg Brandes Plads 6, 3. 322, 1307 København K"
"Georg Brandes Plads 6, 1. 125, 1307 København K"
"Georg Brandes Plads 6, st. 36, 1307 København K"
"Sølvgade 83B, 1307 København K"
"Georg Brandes Plads 14, 3. 75, 1307 København K"
"Georg Brandes Plads 12, 4. 72, 1307 København K"
"Sølvgade 3, 1307 København K"
"Georg Brandes Plads 12, 2. 64, 1307 København K"
"Georg Brandes Plads 12, 2. 56, 1307 København K"
"Georg Brandes Plads 10, st. 33, 1307 København K"
"Sølvgade 15, 1307 København K"
"Georg Brandes Plads 6, 3. 319, 1307 København K"
"Georg Brandes Plads 8, 3. 23, 1307 København K"
"Georg Brandes Plads 6, 4. 432, 1307 København K"
"Georg Brandes Plads 16, 3. 106, 1307 København K"
"Georg Brandes Plads 6, st. 46, 1307 København K"
"Georg Brandes Plads 16, 1. 83, 1307 København K"
"Georg Brandes Plads 10, st. 52, 1307 København K"
"Georg Brandes Plads 10, 2. 34, 1307 København K"
"Georg Brandes Plads 6, st. 29, 1307 København K"
"Georg Brandes Plads 10, 3. 35, 1307 København K"
"Georg Brandes Plads 12, 2. 68, 1307 København K"
"Georg Brandes Plads 12, 1. 76, 1307 København K"
"Georg Brandes Plads 6, st. 9, 1307 København K"
"Georg Brandes Plads 6, 4. 424, 1307 København K"
"Georg Brandes Plads 6, st. 10, 1307 København K"
"Georg Brandes Plads 4, 1. 104, 1307 København K"
"Georg Brandes Plads 6, 2. 232, 1307 København K"
"Georg Brandes Plads 4, st. 38, 1307 København K"
"Georg Brandes Plads 10, st. 38, 1307 København K"
"Georg Brandes Plads 4, 3. 315, 1307 København K"
"Georg Brandes Plads 6, 3. 313, 1307 København K"
"Georg Brandes Plads 8, 2. 13, 1307 København K"
