"Ringstedvej 137A, 4173 Fjenneslev"
"Sorøvej 183, Sigersted Huse, 4173 Fjenneslev"
"Fuglagervej 6, Alsted, 4173 Fjenneslev"
"Fuglagervej 6B, Alsted, 4173 Fjenneslev"
"Fjenneslevmaglevej 3, 4173 Fjenneslev"
"Ørslevvestervej 73B, Ørslevvester, 4173 Fjenneslev"
"Sorøvej 192, Sigersted Huse, 4173 Fjenneslev"
"Egerupvej 65, Egerup, 4173 Fjenneslev"
"Bakkegårdsvej 24B, Ørslevvester, 4173 Fjenneslev"
"Bakkegårdsvej 2B, Ørslevvester, 4173 Fjenneslev"
"Frøsmosevej 6, 4173 Fjenneslev"
"Alstedvej 52B, 4173 Fjenneslev"
"Alstedvej 52C, 4173 Fjenneslev"
"Alstedvej 52A, 4173 Fjenneslev"
"Gulagervej 6, st., 4173 Fjenneslev"
"Fjenneslevmaglevej 3B, 4173 Fjenneslev"
"Bakkegårdsvej 16, Ørslevvester, 4173 Fjenneslev"
"Ørslevvestervej 67, Ørslevvester, 4173 Fjenneslev"
"Alstedvej 83, 4173 Fjenneslev"
"Sasserbrovej 38, 4173 Fjenneslev"
"Kongsholm 6, 4173 Fjenneslev"
