"H.C. Ørsteds Vej 52, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 47, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 26, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 3. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 52A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 35, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 37A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 50B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 19B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 73, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 15, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 1. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 50A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 44, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 30, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 40, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 50D, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 2. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 3. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 70, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 2. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 1. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 47, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 32, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 21, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 31, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 50C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28D, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 39A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 47, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 59, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 4A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 1A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 56, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 13, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 42, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 47, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 2. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 53, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 2. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 23, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 47, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 11B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 31A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 3. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 48B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28C, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 11A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 51, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 39C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 28A, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65A, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 65, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22E, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22E, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22E, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 12, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43A, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43D, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 43B, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 6 b, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 6 a, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63A, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 4. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 3. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 1. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, 2. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63C, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 4. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 4. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 4. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 3. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 3. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 2. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 4. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 1. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 1. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, st. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, kl. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 3. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 3. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 2. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 2. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 1. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 1. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7, 2. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 5., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 7B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 20A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 24, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 24, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 24, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22H, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22H, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22G, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22H, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 22H, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 26, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 27, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 29, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 31, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 33, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 35, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 37, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 39, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 41, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 6b, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 25, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 5, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 28, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 30, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 32, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 34, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 36, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 38, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 5. 40, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 6a, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 4. 24, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 22, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 23, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 1. 4, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 10, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 12, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 14, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 8, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 15, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 17, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 19, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 21, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 11, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 13, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 6, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 9, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 16, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 18, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 3. 20, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 27, 2. 7, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, kl., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 1. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 2. mf, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 54A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 62, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, st. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 4., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 61, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 66, 4. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 41A, st. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 67, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 8, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 10, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 32, 4. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 18, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 4C, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 69, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 63B, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, kl. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, kl. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, kl. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, st. 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, st. 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, st. 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 1. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 1. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 3. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 3. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 1, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 2, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 49A, 3, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60B, st., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60B, 1., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60B, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 60B, 3., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29A, 2., 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29A, 2. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29A, 2. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 52, 5. th, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 52, 5. tv, 1879 Frederiksberg C"
"H.C. Ørsteds Vej 29A, st., 1879 Frederiksberg C"
